"","COU","Country","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","AUS","Australia","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,24.7,NA,NA
"2","AUS","Australia","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,26.7,NA,NA
"3","AUT","Austria","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,27.9,NA,NA
"4","AUT","Austria","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,30.6,NA,NA
"5","BEL","Belgium","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,38,NA,NA
"6","BEL","Belgium","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,39.3,NA,NA
"7","CAN","Canada","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,24.7,NA,NA
"8","CAN","Canada","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,25.2,NA,NA
"9","CZE","Czech Republic","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,22,NA,NA
"10","CZE","Czech Republic","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,19,NA,NA
"11","DNK","Denmark","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,39.1,NA,NA
"12","DNK","Denmark","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,38,NA,NA
"13","FIN","Finland","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,42.5,NA,NA
"14","FIN","Finland","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,42.5,NA,NA
"15","FRA","France","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,26.9,NA,NA
"16","FRA","France","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,26.2,NA,NA
"17","DEU","Germany","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,32.9,NA,NA
"18","DEU","Germany","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,36.5,NA,NA
"19","GRC","Greece","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,21,NA,NA
"20","GRC","Greece","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,23,NA,NA
"21","HUN","Hungary","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,8.8,NA,NA
"22","HUN","Hungary","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,10.1,NA,NA
"23","ISL","Iceland","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,39.7,NA,NA
"24","ISL","Iceland","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,41.3,NA,NA
"25","IRL","Ireland","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,15.1,NA,NA
"26","IRL","Ireland","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,16.3,NA,NA
"27","ITA","Italy","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,21.6,NA,NA
"28","ITA","Italy","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,31,NA,NA
"29","JPN","Japan","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,10.6,NA,NA
"30","JPN","Japan","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,9.5,NA,NA
"31","KOR","Korea","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,15.7,NA,NA
"32","KOR","Korea","EMPW_PARL","Share of women parliamentarians",2015,2015,"PC","Percentage",0,"Units",NA,NA,16.3,NA,NA
"33","LUX","Luxembourg","EMPW_PARL","Share of women parliamentarians",2012,2012,"PC","Percentage",0,"Units",NA,NA,25,NA,NA
