"COUNTRY","Country","AGE","Age","INTENSITY","Intensity","SEX","Gender","ISC11_LEVEL_CAT","Education level and programe orientation ","INDICATOR","Indicator name","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",,"M","Missing value; data cannot exist"
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",,"M","Missing value; data cannot exist"
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",,"M","Missing value; data cannot exist"
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",35.325,,
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",36.829,,
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",38.129,,
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",37.614,,
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",,"M","Missing value; data cannot exist"
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",,"M","Missing value; data cannot exist"
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",,"M","Missing value; data cannot exist"
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",36.102,,
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",37.785,,
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",39.102,,
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",38.838,,
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",0,,
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",0,,
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",0,,
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",0,,
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",0,,
"AUS","Australia","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",0,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",10.53,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",11.011,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",13.488,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",14.513,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",16.195,,
