"REG","Region","LOCATION","Country","INC","Income group","VAR","Variables","TIME","Time","Value","Flag Codes","Flags"
"ECA","Europe and Central Asia","CYP","Cyprus","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.14,,
"EAP","East Asia and the Pacific","HKG","Hong Kong, China","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.22,,
"MENA","Middle East and North Africa","KWT","Kuwait","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.36,,
"MENA","Middle East and North Africa","QAT","Qatar","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.28,,
"ECA","Europe and Central Asia","RUS","Russia","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.23,,
"MENA","Middle East and North Africa","SAU","Saudi Arabia","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.6,,
"EAP","East Asia and the Pacific","SGP","Singapore","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.26,,
"LAC","Latin America and the Caribbean","TTO","Trinidad and Tobago","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.06,,
"LAC","Latin America and the Caribbean","URY","Uruguay","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.09,,
"EAP","East Asia and the Pacific","AUS","Australia","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.04,,
"NA","North America","CAN","Canada","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.05,,
"ECA","Europe and Central Asia","FIN","Finland","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.06,,
"ECA","Europe and Central Asia","FRA","France","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.07,,
"ECA","Europe and Central Asia","DEU","Germany","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.16,,
"ECA","Europe and Central Asia","ITA","Italy","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.08,,
"EAP","East Asia and the Pacific","JPN","Japan","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.16,,
"EAP","East Asia and the Pacific","KOR","Korea","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.26,,
"ECA","Europe and Central Asia","NLD","Netherlands","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.05,,
"EAP","East Asia and the Pacific","NZL","New Zealand","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.05,,
"ECA","Europe and Central Asia","NOR","Norway","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.04,,
"ECA","Europe and Central Asia","POL","Poland","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.12,,
"ECA","Europe and Central Asia","ESP","Spain","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.12,,
"ECA","Europe and Central Asia","SWE","Sweden","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.03,,
"ECA","Europe and Central Asia","CHE","Switzerland","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.09,,
"ECA","Europe and Central Asia","GBR","United Kingdom","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.07,,
"NA","North America","USA","United States","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.07,,
"LAC","Latin America and the Caribbean","CHL","Chile","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.2,,
"ECA","Europe and Central Asia","EST","Estonia","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.16,,
"ECA","Europe and Central Asia","SVN","Slovenia","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.08,,
"SA","South Asia","BGD","Bangladesh","LIN","Low income","SB_3","Son preference in education","2014","2014",0.62,,
"SSA","Sub-Saharan Africa","BFA","Burkina Faso","LIN","Low income","SB_3","Son preference in education","2014","2014",0.33,,
"SSA","Sub-Saharan Africa","ETH","Ethiopia","LIN","Low income","SB_3","Son preference in education","2014","2014",0.08,,
"SSA","Sub-Saharan Africa","MLI","Mali","LIN","Low income","SB_3","Son preference in education","2014","2014",0.47,,
"SSA","Sub-Saharan Africa","RWA","Rwanda","LIN","Low income","SB_3","Son preference in education","2014","2014",0.36,,
"SSA","Sub-Saharan Africa","TZA","Tanzania","LIN","Low income","SB_3","Son preference in education","2014","2014",0.15,,
"SSA","Sub-Saharan Africa","UGA","Uganda","LIN","Low income","SB_3","Son preference in education","2014","2014",0.23,,
"SSA","Sub-Saharan Africa","ZWE","Zimbabwe","LIN","Low income","SB_3","Son preference in education","2014","2014",0.16,,
"ECA","Europe and Central Asia","ARM","Armenia","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.25,,
"MENA","Middle East and North Africa","EGY","Egypt","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.36,,
"ECA","Europe and Central Asia","GEO","Georgia","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.23,,
"SSA","Sub-Saharan Africa","GHA","Ghana","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.3,,
"LAC","Latin America and the Caribbean","GTM","Guatemala","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.19,,
"SA","South Asia","IND","India","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.39,,
"EAP","East Asia and the Pacific","IDN","Indonesia","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.19,,
"ECA","Europe and Central Asia","KGZ","Kyrgyzstan","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.41,,
"ECA","Europe and Central Asia","MDA","Moldova","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.17,,
"MENA","Middle East and North Africa","MAR","Morocco","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.2,,
"SSA","Sub-Saharan Africa","NGA","Nigeria","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.46,,
"MENA","Middle East and North Africa","PSE","Palestinian Authority or West Bank and Gaza Strip","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.27,,
"SA","South Asia","PAK","Pakistan","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.51,,
"EAP","East Asia and the Pacific","PHL","Philippines","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.39,,
"ECA","Europe and Central Asia","UKR","Ukraine","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.18,,
"ECA","Europe and Central Asia","UZB","Uzbekistan","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.49,,
"EAP","East Asia and the Pacific","VNM","Viet Nam","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.2,,
"MENA","Middle East and North Africa","YEM","Yemen","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.45,,
"SSA","Sub-Saharan Africa","ZMB","Zambia","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.24,,
"ECA","Europe and Central Asia","HUN","Hungary","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.19,,
"LAC","Latin America and the Caribbean","MEX","Mexico","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.21,,
"ECA","Europe and Central Asia","TUR","Turkey","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.32,,
"ECA","Europe and Central Asia","ALB","Albania","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.15,,
"MENA","Middle East and North Africa","DZA","Algeria","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.37,,
"LAC","Latin America and the Caribbean","ARG","Argentina","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.14,,
"ECA","Europe and Central Asia","AZE","Azerbaijan","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.31,,
"ECA","Europe and Central Asia","BLR","Belarus","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.21,,
"ECA","Europe and Central Asia","BIH","Bosnia and Herzegovina","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.17,,
"LAC","Latin America and the Caribbean","BRA","Brazil","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.12,,
"ECA","Europe and Central Asia","BGR","Bulgaria","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.11,,
"EAP","East Asia and the Pacific","CHN","China (People's Republic of)","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.22,,
"LAC","Latin America and the Caribbean","COL","Colombia","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.11,,
"LAC","Latin America and the Caribbean","ECU","Ecuador","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.23,,
"MENA","Middle East and North Africa","IRN","Iran","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.55,,
"MENA","Middle East and North Africa","IRQ","Iraq","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.31,,
"MENA","Middle East and North Africa","JOR","Jordan","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.29,,
"ECA","Europe and Central Asia","KAZ","Kazakhstan","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.22,,
"MENA","Middle East and North Africa","LBN","Lebanon","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.31,,
"MENA","Middle East and North Africa","LBY","Libya","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.32,,
