"","COU","Country","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","AUS","Australia","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,58.44,NA,NA
"2","AUT","Austria","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,44.89,NA,NA
"3","BEL","Belgium","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,52.26,NA,NA
"4","CAN","Canada","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,54.99,NA,NA
"5","DNK","Denmark","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,52.46,NA,NA
"6","FIN","Finland","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,58.37,NA,NA
"7","FRA","France","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,59,NA,NA
"8","DEU","Germany","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,44.68,NA,NA
"9","GRC","Greece","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,51.71,NA,NA
"10","HUN","Hungary","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,72.32,NA,NA
"11","ISL","Iceland","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,63.89,NA,NA
"12","IRL","Ireland","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,60.42,NA,NA
"13","ITA","Italy","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,52.39,NA,NA
"14","JPN","Japan","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,17.62,NA,NA
"15","KOR","Korea","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,28.52,NA,NA
"16","MEX","Mexico","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,36.81,NA,NA
"17","NLD","Netherlands","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,44.24,NA,NA
"18","NOR","Norway","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,54.69,NA,NA
"19","POL","Poland","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,69.34,NA,NA
"20","PRT","Portugal","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,65.72,NA,NA
"21","SVK","Slovak Republic","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,68.43,NA,NA
"22","ESP","Spain","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,50.66,NA,NA
"23","SWE","Sweden","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,57.58,NA,NA
"24","CHE","Switzerland","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,30.93,NA,NA
"25","TUR","Turkey","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,33.81,NA,NA
"26","GBR","United Kingdom","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,54.2,NA,NA
"27","USA","United States","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,42.57,NA,NA
"28","CHL","Chile","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,60.11,NA,NA
"29","COL","Colombia","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,57,NA,NA
"30","EST","Estonia","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,61.52,NA,NA
"31","ISR","Israel","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,62.57,NA,NA
"32","LVA","Latvia","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,63.7,NA,NA
"33","LTU","Lithuania","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,77.49,NA,NA
"34","SVN","Slovenia","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,68.08,NA,NA
"35","OAVG","OECD - Average","EMPWCG","Share of central government employment filled by women",2015,2015,"PER","Persons",0,"Units",NA,NA,53.03,NA,NA
