"","COU","Country","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","AUS","Australia","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,20.7,NA,NA
"2","AUS","Australia","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,17.2,NA,NA
"3","AUT","Austria","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,46.2,NA,NA
"4","AUT","Austria","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,30.8,NA,NA
"5","BEL","Belgium","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,41.7,NA,NA
"6","BEL","Belgium","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,23.1,NA,NA
"7","CAN","Canada","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,26.9,NA,NA
"8","CAN","Canada","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,30.8,NA,NA
"9","CZE","Czech Republic","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,13.3,NA,NA
"10","CZE","Czech Republic","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,18.8,NA,NA
"11","DNK","Denmark","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,39.1,NA,NA
"12","DNK","Denmark","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,26.3,NA,NA
"13","FIN","Finland","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,50,NA,NA
"14","FIN","Finland","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,62.5,NA,NA
"15","FRA","France","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,20.8,NA,NA
"16","FRA","France","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,50,NA,NA
"17","DEU","Germany","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,33.3,NA,NA
"18","DEU","Germany","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,33.3,NA,NA
"19","GRC","Greece","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,5.6,NA,NA
"20","GRC","Greece","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,10,NA,NA
"21","HUN","Hungary","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,10,NA,NA
"22","ISL","Iceland","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,50,NA,NA
"23","ISL","Iceland","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,44.4,NA,NA
"24","IRL","Ireland","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,14.3,NA,NA
"25","IRL","Ireland","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,28.6,NA,NA
"26","ITA","Italy","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,16.7,NA,NA
"27","ITA","Italy","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,43.8,NA,NA
"28","JPN","Japan","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,11.8,NA,NA
"29","JPN","Japan","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,22.2,NA,NA
"30","KOR","Korea","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,11.1,NA,NA
"31","KOR","Korea","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,5.9,NA,NA
"32","LUX","Luxembourg","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,26.7,NA,NA
"33","LUX","Luxembourg","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,26.7,NA,NA
"34","MEX","Mexico","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,21.1,NA,NA
"35","MEX","Mexico","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,17.6,NA,NA
"36","NLD","Netherlands","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,33.3,NA,NA
"37","NLD","Netherlands","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,46.7,NA,NA
"38","NZL","New Zealand","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,28.6,NA,NA
"39","NZL","New Zealand","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,33.3,NA,NA
"40","NOR","Norway","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,52.6,NA,NA
"41","NOR","Norway","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,47.1,NA,NA
"42","POL","Poland","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,22.2,NA,NA
"43","POL","Poland","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,27.8,NA,NA
"44","PRT","Portugal","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,18.2,NA,NA
